,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk_err1,koi_duration_err1,koi_depth,koi_teq,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,ra,log,svm,cnn,Final_Selection
29,0,0,0,0,4.959319244,8.27e-05,0.0075,9802.0,1103,696.5,1,5712,77,-77,4.359,0.11,-0.11,292.16705,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
47,0,0,0,0,40.4195037,0.0022199999999999998,0.14,6256.0,467,36.9,1,5446,179,-163,4.507,0.11599999999999999,-0.105,294.31686,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
50,0,0,0,0,7.240661200000001,0.002,0.171,556.4,734,13.7,2,5005,79,-79,4.595,0.012,-0.064,293.83331,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
51,0,0,0,0,3.43591631,0.011000000000000001,0.40700000000000003,23.2,1272,8.7,3,5779,104,-115,4.3389999999999995,0.132,-0.10800000000000001,287.88732999999996,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
59,0,0,0,0,1.626630225,0.000487,0.0285,1620.6,1547,103.6,1,5735,155,-172,4.41,0.124,-0.18600000000000003,294.36818999999997,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
66,0,0,0,0,10.181583999999999,0.00048300000000000003,0.0331,5741.1,812,183.6,1,5988,179,-197,4.541,0.048,-0.192,291.28195,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
74,0,0,0,0,9.02930689,0.0014199999999999998,0.0528,1019.8,757,53.9,1,5349,167,-167,4.526,0.063,-0.10800000000000001,290.33362,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
81,0,0,0,0,4.783002698,0.0009429999999999999,0.0332,1008.7,886,70.6,1,5170,155,-155,4.574,0.026000000000000002,-0.09699999999999999,287.09398999999996,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
113,0,0,0,0,6.54626149,0.00317,0.111,655.9,810,24.8,3,5251,105,-105,4.581,0.01,-0.085,292.23676,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
124,0,0,0,0,235.99863990000003,0.000898,0.0606,20715.0,188,271.8,1,4245,85,-85,4.627,0.03,-0.018000000000000002,293.00797,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
129,0,0,0,0,39.74893077,0.000301,0.0213,15179.0,552,561.1,1,6122,181,-218,4.487,0.052000000000000005,-0.20800000000000002,293.17929,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
139,0,0,0,0,119.0207044,0.000704,0.0382,7430.5,366,223.5,1,5453,81,-73,4.342,0.14400000000000002,-0.10800000000000001,291.58377,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
158,0,0,0,0,3.96996298,0.0031,0.09699999999999999,299.2,992,15.0,2,5121,76,-84,4.457,0.091,-0.039,290.39322000000004,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
161,0,0,0,0,2.6888992330000003,5.610000000000001e-05,0.0025399999999999997,37492.0,929,1011.6,1,4820,130,-144,4.667,0.027000000000000003,-0.063,296.68307000000004,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
174,0,0,0,0,83.92494032,0.000718,0.0748,7958.7,226,182.1,1,3960,118,-130,4.746,0.045,-0.04,287.85239,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
189,0,0,0,0,13.81020318,0.00175,0.0635,1309.7,833,46.2,1,5942,176,-193,4.327,0.136,-0.187,281.96063,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
194,0,0,0,0,3.8866552239999996,0.00155,0.0604,581.6,1010,48.1,1,5662,153,-153,4.61,0.032,-0.12,288.72665,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
